movieid	itemtitle	no_user
194	Sting, The (1973)	241
323	Dante's Peak (1997)	240
245	Devil's Own, The (1997)	240
185	Psycho (1960)	239
197	Graduate, The (1967)	239
11	Seven (Se7en) (1995)	236
282	Time to Kill, A (1996)	232
496	It's a Wonderful Life (1946)	231
568	Speed (1994)	230
301	In & Out (1997)	230
655	Stand by Me (1986)	227
265	Hunt for Red October, The (1990)	227
182	GoodFellas (1990)	226
273	Heat (1995)	223
143	Sound of Music, The (1965)	222
471	Courage Under Fire (1996)	221
180	Apocalypse Now (1979)	221
179	Clockwork Orange, A (1971)	221
161	Top Gun (1986)	220
71	Lion King, The (1994)	220
427	To Kill a Mockingbird (1962)	219
678	Volcano (1997)	219
8	Babe (1995)	219
95	Aladdin (1992)	219
322	Murder at 1600 (1997)	218
235	Mars Attacks! (1996)	217
435	Butch Cassidy and the Sundance Kid (1969)	216
508	People vs. Larry Flynt, The (1996)	215
88	Sleepless in Seattle (1993)	213
215	Field of Dreams (1989)	212
271	Starship Troopers (1997)	211
4	Get Shorty (1995)	209
187	Godfather: Part II, The (1974)	209
603	Rear Window (1954)	209
385	True Lies (1994)	208
175	Brazil (1985)	208
211	M*A*S*H (1970)	206
200	Shining, The (1980)	206
597	Eraser (1996)	206
588	Beauty and the Beast (1991)	202
515	Boot, Das (1981)	201
403	Batman (1989)	201
208	Young Frankenstein (1974)	200
230	Star Trek IV: The Voyage Home (1986)	199
272	Good Will Hunting (1997)	198
134	Citizen Kane (1941)	198
250	Fifth Element, The (1997)	197
527	Gandhi (1982)	195
474	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	194
298	Face/Off (1997)	194
284	Tin Cup (1996)	193
393	Mrs. Doubtfire (1993)	192
209	This Is Spinal Tap (1984)	191
274	Sabrina (1995)	190
340	Boogie Nights (1997)	189
307	Devil's Advocate, The (1997)	188
124	Lone Star (1996)	187
147	Long Kiss Goodnight, The (1996)	185
13	Mighty Aphrodite (1995)	184
14	Postino, Il (1994)	183
203	Unforgiven (1992)	182
23	Taxi Driver (1976)	182
514	Annie Hall (1977)	180
751	Tomorrow Never Dies (1997)	180
732	Dave (1993)	180
480	North by Northwest (1959)	179
479	Vertigo (1958)	179
566	Clear and Present Danger (1994)	179
419	Mary Poppins (1964)	178
591	Primal Fear (1996)	178
283	Emma (1996)	177
845	That Thing You Do! (1996)	176
83	Much Ado About Nothing (1993)	176
58	Quiz Show (1994)	175
326	G.I. Jane (1997)	175
327	Cop Land (1997)	175
432	Fantasia (1940)	174
24	Rumble in the Bronx (1995)	174
154	Monty Python's Life of Brian (1979)	174
511	Lawrence of Arabia (1962)	173
255	My Best Friend's Wedding (1997)	172
99	Snow White and the Seven Dwarfs (1937)	172
137	Big Night (1996)	171
229	Star Trek III: The Search for Spock (1984)	171
133	Gone with the Wind (1939)	171
218	Cape Fear (1991)	171
651	Glory (1989)	171
433	Heathers (1989)	171
402	Ghost (1990)	170
451	Grease (1978)	170
367	Clueless (1995)	170
188	Full Metal Jacket (1987)	170
321	Mother (1996)	169
684	In the Line of Fire (1993)	169
628	Sleepers (1996)	169
319	Everyone Says I Love You (1996)	168
582	Piano, The (1993)	168
226	Die Hard 2 (1990)	166
199	Bridge on the River Kwai, The (1957)	165
692	American President, The (1995)	164
523	Cool Hand Luke (1967)	164
739	Pretty Woman (1990)	164
411	Nutty Professor, The (1996)	163
443	Birds, The (1963)	162
410	Kingpin (1996)	162
259	George of the Jungle (1997)	162
285	Secrets & Lies (1996)	162
66	While You Were Sleeping (1995)	162
227	Star Trek VI: The Undiscovered Country (1991)	161
315	Apt Pupil (1998)	160
248	Grosse Pointe Blank (1997)	160
476	First Wives Club, The (1996)	160
472	Dragonheart (1996)	158
252	Lost World: Jurassic Park, The (1997)	158
150	Swingers (1996)	157
193	Right Stuff, The (1983)	157
685	Executive Decision (1996)	157
240	Beavis and Butt-head Do America (1996)	156
690	Seven Years in Tibet (1997)	155
31	Crimson Tide (1995)	154
660	Fried Green Tomatoes (1991)	153
431	Highlander (1986)	153
498	African Queen, The (1951)	152
550	Die Hard: With a Vengeance (1995)	151
164	Abyss, The (1989)	151
77	Firm, The (1993)	151
86	Remains of the Day, The (1993)	150
239	Sneakers (1992)	150
304	Fly Away Home (1996)	149
763	Happy Gilmore (1996)	149
55	Professional, The (1994)	149
1028	Grumpier Old Men (1995)	148
462	Like Water For Chocolate (Como agua para chocolate) (1992)	148
42	Clerks (1994)	148
156	Reservoir Dogs (1992)	148
654	Chinatown (1974)	147
293	Donnie Brasco (1997)	147
281	River Wild, The (1994)	146
455	Jackie Chan's First Strike (1996)	145
310	Rainmaker, The (1997)	145
91	Nightmare Before Christmas, The (1993)	143
358	Spawn (1997)	143
332	Kiss the Girls (1997)	143
231	Batman Returns (1992)	142
484	Maltese Falcon, The (1941)	138
87	Searching for Bobby Fischer (1993)	138
94	Home Alone (1990)	137
559	Interview with the Vampire (1994)	137
177	Good, The Bad and The Ugly, The (1966)	137
347	Wag the Dog (1997)	137
1016	Con Air (1997)	137
735	Philadelphia (1993)	137
705	Singin' in the Rain (1952)	137
223	Sling Blade (1996)	136
205	Patton (1970)	136
270	Gattaca (1997)	136
879	Peacemaker, The (1997)	136
1047	Multiplicity (1996)	134
213	Room with a View, A (1986)	134
68	Crow, The (1994)	134
303	Ulee's Gold (1997)	134
47	Ed Wood (1994)	133
243	Jungle2Jungle (1997)	132
2	GoldenEye (1995)	131
657	Manchurian Candidate, The (1962)	131
249	Austin Powers: International Man of Mystery (1997)	130
109	Mystery Science Theater 3000: The Movie (1996)	130
531	Shine (1996)	129
72	Mask, The (1994)	129
418	Cinderella (1950)	129
129	Bound (1996)	129
325	Crash (1996)	128
148	Ghost and the Darkness, The (1996)	128
756	Father of the Bride Part II (1995)	128
241	Last of the Mohicans, The (1992)	128
53	Natural Born Killers (1994)	128
73	Maverick (1994)	128
482	Some Like It Hot (1959)	128
62	Stargate (1994)	127
260	Event Horizon (1997)	127
291	Absolute Power (1997)	127
198	Nikita (La Femme Nikita) (1990)	127
596	Hunchback of Notre Dame, The (1996)	127
157	Platoon (1986)	127
346	Jackie Brown (1997)	126
473	James and the Giant Peach (1996)	126
324	Lost Highway (1997)	125
485	My Fair Lady (1964)	125
116	Cold Comfort Farm (1995)	125
178	12 Angry Men (1957)	125
190	Henry V (1989)	124
526	Ben-Hur (1959)	124
750	Amistad (1997)	124
233	Under Siege (1992)	124
520	Great Escape, The (1963)	124
246	Chasing Amy (1997)	124
343	Alien: Resurrection (1997)	124
501	Dumbo (1941)	123
504	Bonnie and Clyde (1967)	122
509	My Left Foot (1989)	121
428	Harold and Maude (1971)	121
447	Carrie (1976)	121
510	Magnificent Seven, The (1954)	121
170	Cinema Paradiso (1988)	121
528	Killing Fields, The (1984)	121
521	Deer Hunter, The (1978)	120
38	Net, The (1995)	120
217	Bram Stoker's Dracula (1992)	120
746	Real Genius (1985)	119
631	Crying Game, The (1992)	119
866	Michael (1996)	119
169	Wrong Trousers, The (1993)	118
48	Hoop Dreams (1994)	117
449	Star Trek: The Motion Picture (1979)	117
242	Kolya (1996)	117
663	Being There (1979)	116
184	Army of Darkness (1993)	116
192	Raging Bull (1980)	116
380	Star Trek: Generations (1994)	116
659	Arsenic and Old Lace (1944)	115
762	Beautiful Girls (1996)	115
123	Frighteners, The (1996)	115
65	What's Eating Gilbert Grape (1993)	115
292	Rosewood (1997)	114
214	Pink Floyd - The Wall (1982)	114
29	Batman Forever (1995)	114
331	Edge, The (1997)	113
316	As Good As It Gets (1997)	112
408	Close Shave, A (1995)	112
93	Welcome to the Dollhouse (1995)	112
815	One Fine Day (1996)	112
382	Adventures of Priscilla, Queen of the Desert, The (1994)	111
219	Nightmare on Elm Street, A (1984)	111
81	Hudsucker Proxy, The (1994)	110
225	101 Dalmatians (1996)	109
470	Tombstone (1993)	108
679	Conan the Barbarian (1981)	107
895	Scream 2 (1997)	106
421	William Shakespeare's Romeo and Juliet (1996)	106
162	On Golden Pond (1981)	106
122	Cable Guy, The (1996)	106
136	Mr. Smith Goes to Washington (1939)	105
54	Outbreak (1995)	104
92	True Romance (1993)	104
709	Strictly Ballroom (1992)	104
478	Philadelphia Story, The (1940)	104
928	Craft, The (1996)	104
67	Ace Ventura: Pet Detective (1994)	103
747	Benny & Joon (1993)	102
317	In the Name of the Father (1993)	102
699	Little Women (1994)	102
554	Waterworld (1995)	102
926	Down Periscope (1996)	101
264	Mimic (1997)	101
404	Pinocchio (1940)	101
378	Miracle on 34th Street (1994)	101
708	Sex, Lies, and Videotape (1989)	101
159	Basic Instinct (1992)	101
232	Young Guns (1988)	101
665	Alien 3 (1992)	100
1012	Private Parts (1997)	100
381	Muriel's Wedding (1994)	100
682	I Know What You Did Last Summer (1997)	100
436	American Werewolf in London, An (1981)	99
507	Streetcar Named Desire, A (1951)	98
155	Dirty Dancing (1987)	98
1014	Romy and Michele's High School Reunion (1997)	98
33	Desperado (1995)	97
429	Day the Earth Stood Still, The (1951)	97
126	Spitfire Grill, The (1996)	97
356	Client, The (1994)	97
919	City of Lost Children, The (1995)	96
306	Mrs. Brown (Her Majesty, Mrs. Brown) (1997)	96
290	Fierce Creatures (1997)	96
755	Jumanji (1995)	96
131	Breakfast at Tiffany's (1961)	95
477	Matilda (1996)	95
90	So I Married an Axe Murderer (1993)	95
529	My Life as a Dog (Mitt liv som hund) (1985)	93
430	Duck Soup (1933)	93
820	Space Jam (1996)	93
412	Very Brady Sequel, A (1996)	93
576	Cliffhanger (1993)	93
1011	2 Days in the Valley (1996)	93
578	Demolition Man (1993)	92
17	From Dusk Till Dawn (1996)	92
212	Unbearable Lightness of Being, The (1988)	92
744	Michael Collins (1996)	92
549	Rob Roy (1995)	92
163	Return of the Pink Panther, The (1974)	92
517	Manhattan (1979)	91
831	Escape from L.A. (1996)	91
338	Bean (1997)	91
693	Casino (1995)	91
52	Madness of King George, The (1994)	91
636	Escape from New York (1981)	91
1039	Hamlet (1996)	90
458	Nixon (1995)	90
652	Rosencrantz and Guildenstern Are Dead (1990)	90
506	Rebel Without a Cause (1955)	90
3	Four Rooms (1995)	90
201	Evil Dead II (1987)	89
518	Miller's Crossing (1990)	89
10	Richard III (1995)	89
399	Three Musketeers, The (1993)	89
642	Grifters, The (1990)	89
661	High Noon (1952)	88
39	Strange Days (1995)	87
386	Addams Family Values (1993)	87
715	To Die For (1995)	87
689	Jackal, The (1997)	87
305	Ice Storm, The (1997)	87
792	Bullets Over Broadway (1994)	86
673	Cape Fear (1962)	86
5	Copycat (1995)	86
720	First Knight (1995)	86
864	My Fellow Americans (1996)	86
988	Beautician and the Beast, The (1997)	86
425	Bob Roberts (1992)	85
448	Omen, The (1976)	85
465	Jungle Book, The (1994)	85
924	White Squall (1996)	85
280	Up Close and Personal (1996)	85
781	French Kiss (1995)	84
21	Muppet Treasure Island (1996)	84
825	Arrival, The (1996)	83
59	Three Colors: Red (1994)	83
662	Somewhere in Time (1980)	82
63	Santa Clause, The (1994)	82
640	Cook the Thief His Wife & Her Lover, The (1989)	82
717	Juror, The (1996)	82
152	Sleeper (1973)	82
823	Mulholland Falls (1996)	82
625	Sword in the Stone, The (1963)	82
32	Crumb (1994)	81
49	I.Q. (1994)	81
51	Legends of the Fall (1994)	81
729	Nell (1994)	81
604	It Happened One Night (1934)	81
420	Alice in Wonderland (1951)	81
873	Picture Perfect (1997)	81
530	Man Who Would Be King, The (1975)	80
312	Midnight in the Garden of Good and Evil (1997)	80
45	Eat Drink Man Woman (1994)	80
826	Phantom, The (1996)	80
930	Chain Reaction (1996)	80
519	Treasure of the Sierra Madre, The (1948)	80
584	Secret Garden, The (1993)	79
44	Dolores Claiborne (1994)	79
710	Better Off Dead... (1985)	79
696	City Hall (1996)	79
658	Pump Up the Volume (1990)	79
736	Shadowlands (1993)	78
287	Marvin's Room (1996)	78
1074	Reality Bites (1994)	77
629	Victor/Victoria (1982)	77
295	Breakdown (1997)	77
676	Crucible, The (1996)	77
778	Don Juan DeMarco (1995)	76
401	Brady Bunch Movie, The (1995)	76
724	Circle of Friends (1995)	76
871	Vegas Vacation (1997)	75
311	Wings of the Dove, The (1997)	75
627	Robin Hood: Prince of Thieves (1991)	75
969	Winnie the Pooh and the Blustery Day (1968)	75
221	Breaking the Waves (1996)	74
461	Smoke (1995)	74
105	Sgt. Bilko (1996)	74
1101	Six Degrees of Separation (1993)	74
1048	She's the One (1996)	73
417	Parent Trap, The (1961)	73
299	Hoodlum (1997)	73
525	Big Sleep, The (1946)	73
101	Heavy Metal (1981)	73
26	Brothers McMullen, The (1995)	73
141	20,000 Leagues Under the Sea (1954)	72
354	Wedding Singer, The (1998)	72
20	Angels and Insects (1995)	72
713	Othello (1995)	72
513	Third Man, The (1949)	72
650	Seventh Seal, The (Sjunde inseglet, Det) (1957)	72
277	Restoration (1995)	71
544	Things to Do in Denver when You're Dead (1995)	71
106	Diabolique (1996)	71
463	Secret of Roan Inish, The (1994)	71
949	How to Make an American Quilt (1995)	71
647	Ran (1985)	70
409	Jack (1996)	70
707	Enchanted April (1991)	70
558	Heavenly Creatures (1994)	70
780	Dumb & Dumber (1994)	69
633	Christmas Carol, A (1938)	69
687	McHale's Navy (1997)	69
160	Glengarry Glen Ross (1992)	69
384	Naked Gun 33 1/3: The Final Insult (1994)	69
19	Antonia's Line (1995)	69
487	Roman Holiday (1953)	68
934	Preacher's Wife, The (1996)	68
497	Bringing Up Baby (1938)	68
1035	Cool Runnings (1993)	68
392	Man Without a Face, The (1993)	68
80	Hot Shots! Part Deux (1993)	68
505	Dial M for Murder (1954)	68
434	Forbidden Planet (1956)	67
120	Striptease (1996)	67
569	Wolf (1994)	67
648	Quiet Man, The (1952)	67
114	Wallace & Gromit: The Best of Aardman Animation (1996)	67
371	Bridges of Madison County, The (1995)	67
167	Private Benjamin (1980)	67
491	Adventures of Robin Hood, The (1938)	67
469	Short Cuts (1993)	67
607	Rebecca (1940)	66
189	Grand Day Out, A (1992)	66
1073	Shallow Grave (1994)	66
790	Tommy Boy (1995)	66
993	Hercules (1997)	66
262	In the Company of Men (1997)	66
220	Mirror Has Two Faces, The (1996)	66
207	Cyrano de Bergerac (1990)	66
606	All About Eve (1950)	66
538	Anastasia (1997)	66
855	Diva (1981)	66
452	Jaws 2 (1978)	66
672	Candyman (1992)	65
345	Deconstructing Harry (1997)	65
128	Supercop (1992)	65
108	Kids in the Hall: Brain Candy (1996)	65
145	Lawnmower Man, The (1992)	65
488	Sunset Blvd. (1950)	65
387	Age of Innocence, The (1993)	65
171	Delicatessen (1991)	65
887	Eve's Bayou (1997)	64
959	Dazed and Confused (1993)	64
60	Three Colors: Blue (1993)	64
165	Jean de Florette (1986)	64
616	Night of the Living Dead (1968)	64
468	Rudy (1993)	64
486	Sabrina (1954)	64
416	Old Yeller (1957)	64
595	Fan, The (1996)	64
619	Extreme Measures (1996)	64
334	U Turn (1997)	64
1009	Stealing Beauty (1996)	64
481	Apartment, The (1960)	63
516	Local Hero (1983)	63
450	Star Trek V: The Final Frontier (1989)	63
740	Jane Eyre (1996)	63
553	Walk in the Clouds, A (1995)	63
727	Immortal Beloved (1994)	63
499	Cat on a Hot Tin Roof (1958)	62
1041	Forget Paris (1995)	62
414	My Favorite Year (1982)	62
254	Batman & Robin (1997)	62
140	Homeward Bound: The Incredible Journey (1993)	61
946	Fox and the Hound, The (1981)	61
158	Weekend at Bernie's (1989)	60
493	Thin Man, The (1934)	60
609	Father of the Bride (1950)	60
939	Murder in the First (1995)	60
278	Bed of Roses (1996)	60
1119	Some Kind of Wonderful (1987)	59
492	East of Eden (1955)	59
581	Kalifornia (1993)	59
61	Three Colors: White (1994)	59
561	Mary Shelley's Frankenstein (1994)	59
495	Around the World in 80 Days (1956)	59
391	Last Action Hero (1993)	59
737	Sirens (1994)	59
880	Soul Food (1997)	59
615	39 Steps, The (1935)	59
166	Manon of the Spring (Manon des sources) (1986)	58
741	Last Supper, The (1995)	58
898	Postman, The (1997)	58
923	Raise the Red Lantern (1991)	58
722	Nine Months (1995)	58
716	Home for the Holidays (1995)	58
632	Sophie's Choice (1982)	58
85	Ref, The (1994)	58
40	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	57
142	Bedknobs and Broomsticks (1971)	57
512	Wings of Desire (1987)	57
502	Bananas (1971)	57
754	Red Corner (1997)	57
27	Bad Boys (1995)	57
770	Devil in a Blue Dress (1995)	57
827	Daylight (1996)	57
931	Island of Dr. Moreau, The (1996)	57
813	Celluloid Closet, The (1995)	56
395	Robin Hood: Men in Tights (1993)	56
494	His Girl Friday (1940)	56
847	Looking for Richard (1996)	55
413	Tales from the Crypt Presents: Bordello of Blood (1996)	55
369	Black Sheep (1996)	55
344	Apostle, The (1997)	55
721	Mallrats (1995)	54
535	Addicted to Love (1997)	54
76	Carlito's Way (1993)	54
396	Serial Mom (1994)	54
102	Aristocats, The (1970)	54
675	Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)	54
1065	Koyaanisqatsi (1983)	53
875	She's So Lovely (1997)	53
886	Life Less Ordinary, A (1997)	53
892	Flubber (1997)	53
849	Days of Thunder (1990)	53
840	Last Man Standing (1996)	53
702	Barcelona (1994)	53
441	Amityville Horror, The (1979)	53
877	Excess Baggage (1997)	52
342	Man Who Knew Too Little, The (1997)	52
466	Red Rock West (1992)	52
489	Notorious (1946)	52
768	Casper (1995)	52
542	Pocahontas (1995)	51
614	Giant (1956)	51
749	MatchMaker, The (1997)	51
712	Tin Men (1987)	51
602	American in Paris, An (1951)	50
806	Menace II Society (1993)	50
490	To Catch a Thief (1955)	50
206	Akira (1988)	50
686	Perfect World, A (1993)	50
1017	Trees Lounge (1996)	50
139	Love Bug, The (1969)	50
649	Once Upon a Time in America (1984)	50
570	Wyatt Earp (1994)	50
297	Ulee's Gold (1997)	50
833	Bulletproof (1996)	49
772	Kids (1995)	49
824	Great White Hype, The (1996)	49
541	Mortal Kombat (1995)	49
977	Substitute, The (1996)	49
406	Thinner (1996)	49
683	Rocket Man (1997)	49
955	Before Sunrise (1995)	49
841	Glimmer Man, The (1996)	48
1228	Under Siege 2: Dark Territory (1995)	48
948	Booty Call (1997)	48
674	Cat People (1982)	48
562	Quick and the Dead, The (1995)	48
467	Bronx Tale, A (1993)	48
456	Beverly Hills Ninja (1997)	48
365	Powder (1995)	48
244	Smilla's Sense of Snow (1997)	48
1118	Up in Smoke (1978)	47
1007	Waiting for Guffman (1996)	47
876	Money Talks (1997)	47
339	Mad City (1997)	47
366	Dangerous Minds (1995)	47
789	Swimming with Sharks (1995)	47
363	Sudden Death (1995)	47
956	Nobody's Fool (1994)	46
1135	Doors, The (1991)	46
444	Blob, The (1958)	46
794	It Could Happen to You (1994)	46
664	Paris, Texas (1984)	46
251	Shall We Dance? (1996)	46
760	Screamers (1995)	46
524	Great Dictator, The (1940)	46
941	With Honors (1994)	46
1046	Malice (1993)	46
921	Farewell My Concubine (1993)	46
671	Bride of Frankenstein (1935)	46
952	Blue in the Face (1995)	45
942	What's Love Got to Do with It (1993)	45
552	Species (1995)	45
236	Citizen Ruth (1996)	45
1079	Joe's Apartment (1996)	45
329	Desperate Measures (1998)	45
810	Shadow, The (1994)	45
881	Money Talks (1997)	45
728	Junior (1994)	45
1197	Family Thing, A (1996)	45
761	Nick of Time (1995)	44
896	Sweet Hereafter, The (1997)	44
638	Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)	44
1067	Bottle Rocket (1996)	44
575	City Slickers II: The Legend of Curly's Gold (1994)	44
656	M (1931)	44
846	To Gillian on Her 37th Birthday (1996)	44
975	Fear (1996)	44
1188	Young Guns II (1990)	44
1025	Fire Down Below (1997)	44
688	Leave It to Beaver (1997)	44
694	Persuasion (1995)	44
984	Shadow Conspiracy (1997)	44
539	Mouse Hunt (1997)	44
224	Ridicule (1996)	44
1010	Basquiat (1996)	44
1142	When We Were Kings (1996)	44
890	Mortal Kombat: Annihilation (1997)	43
944	Renaissance Man (1994)	43
1050	Ghost and Mrs. Muir, The (1947)	43
620	Chamber, The (1996)	43
261	Air Bud (1997)	43
1091	Pete's Dragon (1977)	43
336	Playing God (1997)	43
407	Spy Hard (1996)	43
589	Wild Bunch, The (1969)	43
540	Money Train (1995)	43
809	Rising Sun (1993)	43
379	Tales From the Crypt Presents: Demon Knight (1995)	43
769	Congo (1995)	42
1098	Flirting With Disaster (1996)	42
107	Moll Flanders (1996)	42
844	Freeway (1996)	42
872	Love Jones (1997)	42
900	Kundun (1997)	42
902	Big Lebowski, The (1998)	42
577	Coneheads (1993)	41
1051	Associate, The (1996)	41
330	187 (1997)	41
350	Fallen (1998)	41
355	Sphere (1998)	41
963	Some Folks Call It a Sling Blade (1993)	41
610	Gigi (1958)	41
547	Young Poisoner's Handbook, The (1995)	41
771	Johnny Mnemonic (1995)	41
1110	Tank Girl (1995)	41
1063	Little Princess, A (1995)	41
43	Disclosure (1994)	40
697	Basketball Diaries, The (1995)	40
929	Harriet the Spy (1996)	40
932	First Kid (1996)	40
1044	Paper, The (1994)	40
945	Charade (1963)	40
57	Priest (1994)	40
611	Laura (1944)	40
943	Killing Zoe (1994)	40
639	Tin Drum, The (Blechtrommel, Die) (1979)	40
802	Hard Target (1993)	40
819	Eddie (1996)	40
951	Indian in the Cupboard, The (1995)	39
752	Replacement Killers, The (1998)	39
1060	Adventures of Pinocchio, The (1996)	39
503	Candidate, The (1972)	39
622	Swiss Family Robinson (1960)	39
623	Angels in the Outfield (1994)	39
585	Son in Law (1993)	39
1221	When a Man Loves a Woman (1994)	39
785	Only You (1994)	39
370	Mary Reilly (1996)	39
1217	Assassins (1995)	39
731	Corrina, Corrina (1994)	39
16	French Twist (Gazon maudit) (1995)	39
874	Career Girls (1997)	39
743	Crow: City of Angels, The (1996)	39
373	Judge Dredd (1995)	39
1134	Get on the Bus (1996)	38
646	Once Upon a Time in the West (1969)	38
1013	Anaconda (1997)	38
1210	Virtuosity (1995)	38
637	Howling, The (1981)	38
1021	8 1/2 (1963)	38
1089	Speed 2: Cruise Control (1997)	38
1008	I Shot Andy Warhol (1996)	37
783	Milk Money (1994)	37
41	Billy Madison (1995)	37
30	Belle de jour (1967)	37
1090	Sliver (1993)	37
583	Romeo Is Bleeding (1993)	37
937	Thousand Acres, A (1997)	37
364	Ace Ventura: When Nature Calls (1995)	37
1244	Metro (1997)	36
670	Body Snatchers (1993)	36
796	Speechless (1994)	36
856	Night on Earth (1991)	36
567	Wes Craven's New Nightmare (1994)	35
1059	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	35
979	Trigger Effect, The (1996)	35
522	Down by Law (1986)	35
1020	Gaslight (1944)	35
266	Kull the Conqueror (1997)	35
644	Thin Blue Line, The (1988)	35
612	Lost Horizon (1937)	34
586	Terminal Velocity (1994)	34
971	Mediterraneo (1991)	34
961	Orlando (1993)	34
925	Unforgettable (1996)	34
922	Dead Man (1995)	34
882	Washington Square (1997)	34
372	Jeffrey (1995)	34
829	Fled (1996)	34
723	Boys on the Side (1995)	34
680	Kull the Conqueror (1997)	34
653	Touch of Evil (1958)	34
1267	Clockers (1995)	33
990	Anna Karenina (1997)	33
78	Free Willy (1993)	33
878	That Darn Cat! (1997)	33
1139	Hackers (1995)	33
641	Paths of Glory (1957)	33
573	Body Snatchers (1993)	33
580	Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)	32
1022	Fast, Cheap & Out of Control (1997)	32
1033	Homeward Bound II: Lost in San Francisco (1996)	32
1226	Night Falls on Manhattan (1997)	32
936	Brassed Off (1996)	32
765	Boomerang (1992)	32
940	Airheads (1994)	32
974	Eye for an Eye (1996)	32
1018	Tie Me Up! Tie Me Down! (1990)	32
774	Prophecy, The (1995)	32
989	Cats Don't Dance (1997)	32
426	Transformers: The Movie, The (1986)	32
1132	Feeling Minnesota (1996)	32
1126	Old Man and the Sea, The (1958)	32
110	Operation Dumbo Drop (1995)	31
995	Kiss Me, Guido (1997)	31
630	Great Race, The (1965)	31
797	Timecop (1994)	31
500	Fly Away Home (1996)	31
1194	Once Were Warriors (1994)	31
383	Flintstones, The (1994)	31
1023	Fathers' Day (1997)	31
368	Bio-Dome (1996)	31
605	Meet Me in St. Louis (1944)	31
349	Hard Rain (1998)	31
1019	Die xue shuang xiong (Killer, The) (1989)	31
779	Drop Zone (1994)	31
808	Program, The (1993)	31
738	Threesome (1994)	31
308	FairyTale: A True Story (1997)	30
950	Georgia (1995)	30
537	My Own Private Idaho (1991)	30
608	Spellbound (1945)	30
1220	Higher Learning (1995)	30
1215	Barb Wire (1996)	30
843	Shaggy Dog, The (1959)	30
1133	Escape to Witch Mountain (1975)	30
1137	Beautiful Thing (1996)	29
1061	Evening Star, The (1996)	29
764	If Lucy Fell (1996)	29
1115	Twelfth Night (1996)	29
1095	High School High (1996)	29
1136	Ghosts of Mississippi (1996)	29
719	Canadian Bacon (1994)	29
572	Blown Away (1994)	29
563	Stephen King's The Langoliers (1995)	29
460	Crossing Guard, The (1995)	28
309	Deceiver (1997)	28
362	Blues Brothers 2000 (1998)	28
1042	Just Cause (1995)	28
279	Once Upon a Time... When We Were Colored (1995)	28
571	Another Stakeout (1993)	28
388	Beverly Hills Cop III (1994)	28
